message,created_time,id
2016-02-23T18:00:30+0000,Thanks,498929566946615_498949800277925
2016-02-23T17:30:18+0000,Always adore  anything like this,498927323613506_498943193611919
2016-02-23T17:31:58+0000,"No Bush Please, He's awful dumb",498927323613506_498943406945231
2016-02-23T17:37:26+0000,I don't think Trump will ask him! Lol,498927323613506_498944890278416
2016-02-23T17:38:42+0000,no more bushs all bushs needs to retire. and get out of DC and stay out.,498927323613506_498945150278390
2016-02-23T17:39:34+0000,Trump/Kasich,498927323613506_498945393611699
2016-02-23T17:41:14+0000,,498927323613506_498945966944975
2016-02-23T17:41:15+0000,Funny,498927323613506_498945980278307
2016-02-23T17:43:13+0000,No one wants him as a VP anyway he is a weak baby had to bring in his mom and brother as an attempt to rise in polls,498927323613506_498946446944927
2016-02-23T17:43:35+0000,That's funny,498927323613506_498946556944916
2016-02-23T17:44:31+0000,Trump/Michelle bachman,498927323613506_498946740278231
2016-02-23T17:45:54+0000,"Bye, Bye",498927323613506_498946943611544
2016-02-23T17:47:18+0000,,498927323613506_498947080278197
2016-02-23T17:50:34+0000,Trump/Palin,498927323613506_498947690278136
2016-02-23T17:56:49+0000,,498927323613506_498948840278021
2016-02-23T18:02:13+0000,Give me a break!  Like Trump would even consider him 😂😂😂!!  Let's just say he is a far cry from his father and brother!  Trump 2016!,498927323613506_498950046944567
2016-02-23T18:02:41+0000,Smart answer,498927323613506_498950153611223
2016-02-23T17:00:15+0000,Awesome info very interesting  :p,498927730280132_498932866946285
2016-02-23T17:12:30+0000,Poor lady!,498927730280132_498939663612272
2016-02-23T16:30:58+0000,love the comments  everyone :/,498917386947833_498922563613982
2016-02-23T16:34:05+0000,love trump but who cares what these gys say,498917386947833_498925686947003
2016-02-23T16:34:40+0000,,498917386947833_498927210280184
2016-02-23T16:36:34+0000,TRUMP !!!!!!!!!!,498917386947833_498927716946800
2016-02-23T16:36:40+0000,Get out and Vote Donald Trump For President,498917386947833_498927746946797
2016-02-23T16:39:29+0000,I make my own decisions in life.,498917386947833_498928370280068
2016-02-23T16:42:47+0000,Go trump,498917386947833_498929120279993
2016-02-23T16:45:12+0000,GO TRUMP IS MY CHOICE,498917386947833_498929556946616
2016-02-23T16:46:22+0000,"Come on people, no negativity.",498917386947833_498929703613268
2016-02-23T16:50:37+0000,Whoohoo!,498917386947833_498931020279803
2016-02-23T16:53:51+0000,Yes on Trump,498917386947833_498931533613085
2016-02-23T16:58:08+0000,I'am christian from syria....I admier  your...god protects you,498917386947833_498932356946336
2016-02-23T17:01:16+0000,GO Donald J. Trump,498917386947833_498933080279597
2016-02-23T17:02:50+0000,Trump 2016,498917386947833_498933593612879
2016-02-23T17:07:31+0000,Everybody loves Trump !!!!,498917386947833_498934423612796
