status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
428168350689404_498929566946615,This may be the best EVER question to Hillary's people... I bet Clinton is FUMING after this.,BOOM: Dana Perino BURNS Clinton Camp With 1 Twitter Question,link,http://conservativetribune.com/boom-dana-perino-burns/?utm_source=Facebook&utm_medium=DonaldTrumpIsTheMan&utm_content=2016-02-23&utm_campaign=manualpost,2016-02-23 13:00:00,4,1,1
428168350689404_498927323613506,"Finally, Jeb says something interesting...",VIDEO: Jeb Bush Asked If He Would Be Trump's VP... His Answer Left Reporters In Stitches,link,http://conservativetribune.com/video-jeb-bush-asked/?utm_source=Facebook&utm_medium=DonaldTrumpIsTheMan&utm_content=2016-02-23&utm_campaign=manualpost,2016-02-23 12:30:01,13,16,4
428168350689404_498927730280132,"Whoa. Everything was going fine when out of nowhere, this LIVE broadcast took an unexpected turn for the worse...","Watch: Things Go Horribly Wrong On Live TV For This Female Broadcaster- 'I'm So Sorry, I'm Going...",link,http://www.westernjournalism.com/watch-things-go-horribly-wrong-on-live-tv-for-this-female-broadcaster-im-so-sorry-im-going-to/?utm_source=Facebook&utm_medium=DonaldTrumpIsTheMan&utm_content=2016-02-23&utm_campaign=manualpost,2016-02-23 12:00:01,8,2,1
428168350689404_498917386947833,"The star of this hit TV show just dropped a presidential endorsement that has a lot of people talking, and many people are NOT going to like it...

Do you support this television star's presidential pick?",Wow: 'American Chopper' Star Paul Teutul Has A Major Announcement About 2016 Race,link,http://www.westernjournalism.com/wow-american-chopper-star-paul-teutul-has-a-major-announcement-about-2016-race/?utm_source=Facebook&utm_medium=DonaldTrumpIsTheMan&utm_content=2016-02-23&utm_campaign=manualpost,2016-02-23 11:30:00,312,33,42
428168350689404_498916716947900,I do have one question. Will you help bring down gas prices by building new refineries to keep up with the demand. I know that we are trying to produce more fuel with the same refineries from the 1960's. No new refineries have been built since but they do keep upgrading the old ones to keep up yet we export more oil then we import. I feel this is an issue and is destroying small business.,,status,,2016-02-23 11:03:04,0,0,0
428168350689404_757726561025994,"https://www.youtube.com/watch?v=o1JOFhfoAD4


This should be TRUMPs champaign theme when he is running against whatever democrate they choose for president of the USA.
Not that i support drinking alcohol, but that's not the point of the song!!!

I SUPPORT TRUMP!  AND I AM PROUD TO SAY SO!",Toby Keith - Beer For My Horses ft. Willie Nelson,video,https://www.youtube.com/watch?v=o1JOFhfoAD4,2016-02-23 10:15:49,1,1,0
428168350689404_498906823615556,https://www.youtube.com/watch?v=o1JOFhfoAD4,,status,,2016-02-23 10:12:29,1,1,0
428168350689404_498905726948999,Every day and night i pray to God to help donald trump to become a president of USA ' oh GOD help him and see him he  is the only  one who can save USA and who can save USA with only one heart so GOD help our man to be a president in 2016 .Trump oyeeeeeeee .Go on u will win .GOOD LUK,,status,,2016-02-23 10:08:00,0,0,0
428168350689404_498846356954936,Cruz had all his RECORDS SEALED LIKE Obama.,,status,,2016-02-23 07:10:08,1,1,0
428168350689404_132159770506283,"CAUCUSES IN NEVADA - ""GAMBLING STATE"" FOR TRUMP

","Caucuses in Nevada - ""gambling state"" for Trump",link,http://katehon.com/agenda/caucuses-nevada-gambling-state-trump,2016-02-23 06:52:56,1,1,0
428168350689404_571108926378784,"THE SILENT WAR
For and on behalf of our fellow county men and women who are TRAPPED in South Africa, I write as a representative of an international coalition of humanitarian bodies, wishing to see international attention, solution and aid directed to a dire state of affairs that seems to be ignored by the international community.
The South African government under the ruling African National Congress party, as well as their immediate opposition party, the Democratic Alliance, have in recent months, through various public statements, at public meetings and via media, confirmed a long suspected agenda for the eradication and extermination of the “white” / “European” population of South Africa.
Many “white” / “European” farmers along with their families, have already been murdered, some in a most violent fashion, with death often following much torture.
Those who are not murdered are being left to starve to death due to further marginalization caused by post Apartheid policies of Black Economic Empowerment, which excludes all “white” / “European” people from obtaining employment. This is further compounded by the fact that all forms of social support in the form of benefits / social welfare / housing, is completely off limits to “white” / “European” people, resulting in over a million “white” / “European” people now living in illegal squatter camps, many without electricity, sanitation and running water.
Since 1994, over 2 million “white” / “European” South Africans have now fled from South Africa, seeing refuge in foreign lands, often leaving their families behind, in search of better survival opportunities. For those who have been fortunate enough to be in possession of European / British passports due to birth or immediate ancestry, they have been afforded the opportunity to flee South Africa.
Unfortunately the fact remains that for many “white” / “European” South Africans who have descended from the original European settlers, the opportunity to flee from South Africa is closed to them due to the restrictions around having a travel document that is known as a South African passport. Incidentally, despite being born in South Africa, having South African citizenship and a South African passport, as well as the legal right to live and work in South Africa, the South African government has decided that all “white” / “European” people in South Africa, are to be eliminated from the job market, are to be excluded from all forms of aid and social welfare, and are furthermore to be exterminated. There is no future for “white” / “European” South Africans in South Africa, as it is very clear they are not wanted there, as more than a million have been brutally murdered since 1994, when the African National Congress government took control of South Africa.
Everybody has the right to seek survival, to seek a better life, to seek opportunities. The right to survive should not be determined by paperwork. Those “white” / “European” South Africans wishing to return to Europe, should be allowed to do so irrespective of whether they hold the right passport. It is now public knowledge that there is a strategic genocide going on against the “white” / “European” people’s of South Africa. It is absolutely immoral for European State heads to turn their backs on their own people, who are trapped in a foreign land, and who will eventually be killed or be starved out under the current policies of Black Economic Empowerment.
It was the Dutch who first settled at the Cape in 1652 to establish a refreshment station for ships passing around the tip of Africa, to refresh during their long voyage to India along the lucrative trade routes. It was due to expansion and colonization that many European descendants are still trapped in now hostile former colonies.
We implore the Dutch Government, and indeed the European Union, to lift the restrictions to “white” / “European” South Africans with South African passports. A small book and pieces of paper should not determine whether a person has the right to survive. Those South Africans, who seek refuge, and who’s lives are under threat, should be allowed to relocate themselves to Holland or other places within the European Union, as that is where their ancestors originated from.
As refugees pour into Europe from other parts of the world, we ask that the “white” / “European” refugees stranded in South Africa, unable to relocate due to passport restrictions on South African Passports, be granted the right to relocate to the place where their ancestors originated, being Europe.
Those who have the means, skills and resources to relocate, should be given the opportunity to do so in accordance with United Nations Human Rights law, and not be marginalized due to unethical and paralyzing processes.
Furthermore, there is a need for aid relief to be directed to those who are currently stranded in illegal squatter camps. The conditions of these camps are worse than the Concentration Camps* of the Anglo Boer Wars at the turn of the twentieth century, and indeed, many people refer to these illegal squatter camps as Concentration Camps.
*Please reference the conditions of the Anglo Boer war Concentration Camp system as highlighted by Emily Hobhouse and the Fawcett Commission https://en.wikipedia.org/wiki/Emily_Hobhouse.
Several cases for genocide in South Africans against the descendants of the European settlers and farmers have already been brought to the International Criminal Courts in The Hague. However the recent move by the South African government to remove itself from the treaty which would make them liable to be brought before the International Criminal Court for crimes against humanity, has stifled efforts to gain international support / aid / attention to the situation, as the South African government can no longer be held accountable before the International Criminal Court.
What will you do? 
Will the world just stand by and let 4 million people starve or be murdered?
Please do not ignore this situation. It is serious and they need help.
For and on behalf of 
The good hard working suffering people of 
SOUTH AFRICA,
With Respect and Gratitude
The Boer Nation,
Americans Against White Genocide in South Africa,
Independence Commission Africa,
International Monitoring Commission for Human Rights","Emily Hobhouse - Wikipedia, the free encyclopedia",link,https://en.wikipedia.org/wiki/Emily_Hobhouse,2016-02-23 05:35:23,1,1,0
428168350689404_498819380290967,"before you think of imprisoning  mugabe and museven first fight the evil of homosexuality  nonsense, how can u feel bathered about uganda when america is rotting dense",,status,,2016-02-23 04:57:45,1,1,0
428168350689404_978165935564490,,,photo,https://www.facebook.com/photo.php?fbid=978165935564490&set=o.428168350689404&type=3,2016-02-23 02:01:00,1,1,0
428168350689404_498749406964631,"Galatians 6:7-921st Century King James Version (KJ21)

7 Be not deceived, God is not mocked; for whatsoever a man soweth, that shall he also reap.
8 For he that soweth to his flesh shall of the flesh reap corruption; but he that soweth to the Spirit shall of the Spirit reap life everlasting.
9 And let us not be weary in welldoing, for in due season we shall reap, if we faint not.",,status,,2016-02-23 00:50:23,1,2,0
428168350689404_994267130648223,First let me take a selfie then start recording like everyone else does,,photo,https://www.facebook.com/photo.php?fbid=994267130648223&set=o.428168350689404&type=3,2016-02-23 00:25:02,1,3,0
