Type,Day,Amount
stat,01/29/2016,29
stat,02/01/2016,26
stat,01/19/2016,17
stat,02/18/2016,47
stat,01/31/2016,8
stat,01/21/2016,29
stat,01/26/2016,43
stat,02/17/2016,39
stat,02/21/2016,26
stat,01/30/2016,5
stat,02/19/2016,44
stat,01/28/2016,36
stat,02/23/2016,15
stat,02/20/2016,23
stat,01/25/2016,31
stat,02/12/2016,39
stat,01/24/2016,7
stat,02/09/2016,40
stat,02/10/2016,37
stat,01/22/2016,33
stat,02/05/2016,31
stat,01/27/2016,35
stat,02/22/2016,42
stat,02/11/2016,33
stat,02/14/2016,10
stat,02/04/2016,34
stat,02/07/2016,15
stat,01/20/2016,36
stat,02/13/2016,7
stat,02/02/2016,31
stat,02/08/2016,29
stat,02/16/2016,38
stat,02/15/2016,34
stat,01/23/2016,10
stat,02/06/2016,11
stat,02/03/2016,30
comm,01/29/2016,575
comm,02/01/2016,250
comm,01/19/2016,82
comm,02/18/2016,570
comm,01/31/2016,40
comm,01/21/2016,535
comm,01/26/2016,556
comm,02/17/2016,525
comm,02/21/2016,73
comm,01/30/2016,305
comm,02/19/2016,546
comm,01/28/2016,692
comm,02/23/2016,355
comm,02/20/2016,324
comm,01/25/2016,282
comm,02/12/2016,505
comm,01/24/2016,90
comm,02/09/2016,656
comm,02/10/2016,551
comm,01/22/2016,494
comm,02/05/2016,504
comm,01/27/2016,608
comm,02/22/2016,250
comm,02/11/2016,653
comm,02/14/2016,40
comm,02/04/2016,546
comm,02/07/2016,60
comm,01/20/2016,581
comm,02/13/2016,347
comm,02/02/2016,528
comm,02/08/2016,312
comm,02/16/2016,604
comm,02/15/2016,322
comm,01/23/2016,425
comm,02/06/2016,412
comm,02/03/2016,533
